d (m),0.035
nFins,0
deltaFins (deg),0
m (kg),5.509
Ixx (kgm2),0.000869
Iyy (kgm2),0.2448
Izz (kgm2),0.2448
Ixy (kgm2),0
Ixz (kgm2),0
Iyz (kgm2),0
