Mach,CX0,CX2,CY0,CZ0,CNa0,CNa2,CNpa0,CNpa2,Cl0,Clp,Cld,Cm0,Cn0,CMa0,CMa2,CMpa0,CMpa2,CMq
0.9,-0.837,-9.285144,0,0,6.7107,1213.859,0,0,0,-3.3169,0,0,0,20.9469,-3694.857,0,0,-16864.9
1,-1.2311,-9.692272,0,0,6.7421,1229.513,0,0,0,-3.29115,0,0,0,20.9967,-3589.936,0,0,-1762.206
1.1,-1.5016,-9.863003,0,0,7.0559,1260.547,0,0,0,-3.30475,0,0,0,18.055,-3602.084,0,0,-1061.513
1.2,-1.4463,-9.994335,0,0,7.2288,1224.93,0,0,0,-3.28785,0,0,0,15.2419,-3436.094,0,0,-728.656
1.5,-1.0973,-13.04123,0,0,10.379,1093.06,0,0,0,-3.47565,0,0,0,-0.6439,-2921.76,0,0,-603.4345
2,-0.7689,-13.25136,0,0,9.7628,1125.919,0,0,0,-3.4741,0,0,0,-5.2215,-1920.042,0,0,-539.4955
3,-0.502,-13.05436,0,0,8.4139,1282.033,0,0,0,-3.4683,0,0,0,-8.7618,-64.77275,0,0,-320.151
